"Exercise 24 - 〜ている・〜ています - resultative context","Practice with the user the usage of ~ている and ~ています in the resultative context. Mix the formal/informal mode and future-present/past tenses"
"Exercise 25 - 〜ている・〜ています - progressive context","Practice with the user the usage of ~ている and ~ています in the progressive context. Mix the formal/informal mode and future-present/past tenses"
"Exercise 26 - 〜ている・〜ています - resultative and progressive context","Practice with the user the usage of ~ている and ~ています in the resultative and progressive context. Mix the formal/informal mode and future-present/past tenses"
"Exercise 27 - N1は、N2が。。。- descriptions of persons and objects","Practice with the user the usage of N1は、N2が。。。in describing persons and objects. Ask them to translate some sentences to and from Japanese. Mix the formal/informal mode and future-present/past tenses"
"Exercise 28 - 食べに行く - combining the 〜に form with verbs of movement","Practice with the user combining the 〜に form with verbs of movement. Mix the formal/informal mode and future-present/past tenses"
"Exercise 29 - 持って来る - combining the 〜て form with verbs of movement","Practice with the user combining the 〜て form with verbs of movement. Mix the formal/informal mode and future-present/past tenses"
"Exercise 30 - negating verbs in informal mode","Practice with the user negating verbs in informal mode. Mix the future-present/past tenses"
"Exercise 31 - ~ないでください - asking someone not to do something","Practice with the user asking someone not to do something with the ~ないでください form. Mix the formal/informal mode and future-present/past tenses"
"Exercise 288 - AのほうがBより - sentences","This lesson is about practicing the use of the AのほうがBより/AとBとどっちのほうが/[class of items]の中でAがいちばん　construction (to compare things) by asking student to translate some sentences from and to Japanese"
"Exercise 290 - adjective/noun +の - sentences","This lesson is about practicing the use of the 〜の　suffix (to avoid repetition of the adjective or noun) by asking student to translate some sentences from and to Japanese"
"Exercise 292 - 〜か/〜も - sentences","This lesson is about practicing the use of the 〜か/〜も endings (something/someone/etc... nothing/noone/etc...) by asking student to translate some sentences from and to Japanese"
"Exercise 294 - かかる - sentences","This lesson is about practicing the use of the word かかる (formal and informal) by asking student to translate some sentences from and to Japanese"
"Exercise 296 - つもり - sentences","This lesson is about train the use of the word つもり by asking student to translate some sentences from and to Japanese"
"Exercise 297 - つもり - discussion","This lesson is about train the use of the word つもり by conducting a moderated discussion with the student. Try to create a situation in which you both role-play and encourage the student to use つもり"
"Exercise 298 - なる (to become) - sentences","This lesson is about train the use of verb なる (to become) by asking student to translate some sentences from and to Japanese"
"Exercise 299 - なる (to become) - discussion","This lesson is about train the use of verb なる (to become) by conducting a moderated discussion with the student. Try to create a situation in which you both role-play and encourage the student to use なる"
"Exercise 300 - 夢 (dream) - sentences","This lesson is about practicing the use of 夢 to express your dreams (in terms of future visions for yourself but also in terms of dreaming during sleep) by practicing translating some sentences from and to Japanese"
"Exercise 301 - ことがある - sentences","This lesson is about practicing the use of ことがある to express that something took place in your life by practicing translating some sentences from and to Japanese"
"Exercise 302 - N1やN2/N1やN2など - sentences","This lesson is about practicing the use of N1やN2など to give a non-exhaustive list of objects"
"Exercise 303 - 〜したり〜します - sentences","This lesson is about practicing the use of 〜したり〜します to give a none exhaustive list of actions"
"Exercise 304 - 〜すぎる - sentences","This lesson is about practicing expressing excess with 〜すぎる by practicing sentences in present and past, formal and informal modes"
"Exercise 305 - 〜ほうがいいです - sentences","This lesson is about practicing expressing recommendations with past+ほうがいいです and present negation+ほうがいいです"
"Exercise 306 - 〜なければいけません - sentences","This lesson is about using ~なければいけません・〜なければなりません・〜なくちゃいけません・なくちゃなりません in sentences"
"Exercise 307 - キラキラ","This lesson is about using Japanese sound/language symbols in sentences, such as: キラキラ、ドキドキ、グツグツ. Invent situations and ask the user to match the sound symbol"
"Exercise 308 - 帰る・買えます","This lesson is about using the potential form of verbs in sentences"

"Exercise 800 - ピエロギーを作るのは初めてです. Constructions with の-nominalization","This exercise is about practicing the use of の-nominalization. Please ask the student to construct or translate some sentences (to or from JP)"
